no,est_name,council,EWA,CLA,p_IA,mean_depth,STP,R12,TEV,MCI,SCI,R12_TEV,STP_TEV,CLA_EWA,EE,est.class
0,Tapotupotu Bay,NRC,242135,13.54,0.9,3.3,557185,22252,797044,0.09,0.30,0.028,0.699,55.9,0.00,D
1,Waitahora Stream,NRC,206589,5.97,0.0,1.0,0,9832,206506,0.00,0.30,0.048,0.000,28.9,0.00,A
2,Parengarenga Harbour System,NRC,64769535,223.68,82.0,1.7,74683095,385353,109524603,0.01,0.15,0.004,0.682,3.5,0.00,F
3,Houhora Harbour,NRC,13201725,131.94,87.1,1.5,14648771,230160,19560356,0.01,0.43,0.012,0.749,10.0,0.00,E
4,Rangaunu Harbour,NRC,101709220,551.91,77.9,2.4,122167882,1133197,248188694,0.01,0.28,0.005,0.492,5.4,0.00,F
5,Matai Bay,NRC,2244895,3.09,6.5,9.0,4217028,5323,20270627,0.14,0.54,0.000,0.208,1.4,0.00,D
6,Awapoko River,NRC,621457,89.20,47.5,2.5,928354,195349,1581009,0.01,0.13,0.124,0.587,143.5,0.00,F
7,Taipa River,NRC,1546948,125.96,52.4,2.4,2234740,292069,3706197,0.00,0.19,0.079,0.603,81.4,0.00,F
8,Mangonui Harbour,NRC,8685508,75.62,68.0,1.4,11218376,171150,11929984,0.01,0.24,0.014,0.940,8.7,0.00,F
9,Takerau Bay,NRC,236442,1.08,1.3,6.3,456821,2265,1490234,0.24,0.75,0.002,0.307,4.6,0.00,D
10,Taemaro Bay,NRC,703611,4.42,3.0,5.3,1345496,9487,3726052,0.17,0.69,0.003,0.361,6.3,0.00,D
11,Waimahana Bay,NRC,215371,7.30,8.0,5.5,401044,15957,1193351,0.11,0.80,0.013,0.336,33.9,0.00,D
13,Whangaihe Bay,NRC,204080,2.20,2.9,4.8,389449,4665,983997,0.14,0.75,0.005,0.396,10.8,0.00,D
14,Mahinepua Bay,NRC,496006,6.85,2.5,3.2,947726,14449,1596911,0.19,0.77,0.009,0.593,13.8,0.00,D
15,Takou River,NRC,589550,73.05,57.1,1.8,811887,175315,1064981,0.06,0.29,0.165,0.762,123.9,0.00,F
16,Tahoranui River,NRC,254657,26.92,24.9,2.4,429703,65726,621026,0.09,0.27,0.106,0.692,105.7,0.00,F
17,Tapuaetahi Creek,NRC,381743,12.42,84.3,1.3,425482,27894,485568,0.07,0.31,0.057,0.876,32.5,0.00,E
18,Te Puna /Kerikeri Inlet System,NRC,35776929,258.48,11.4,4.9,64786580,711342,175541487,0.01,0.16,0.004,0.369,7.2,0.00,F
19,Opua Inlet System,NRC,52132097,953.32,20.2,3.9,90004189,2450404,201871822,0.02,0.11,0.012,0.446,18.3,0.00,F
20,Paroa Bay,NRC,1660007,4.36,27.3,2.8,2755026,9827,4652984,0.06,0.43,0.002,0.592,2.6,0.00,E
21,Manawaora Bay,NRC,6575097,10.81,7.5,5.9,12159634,24466,38744602,0.09,0.46,0.001,0.314,1.6,0.00,D
22,Parekura Bay,NRC,3581209,23.21,37.0,4.2,5605251,52455,14893034,0.05,0.45,0.004,0.376,6.5,0.00,E
23,Omakiwi Cove,NRC,375366,0.34,7.9,4.4,691874,765,1664974,0.22,0.83,0.000,0.416,0.9,0.00,D
24,Oke Bay,NRC,670155,0.76,0.9,9.8,1279573,1704,6541153,0.21,0.73,0.000,0.196,1.1,0.00,D
25,Deep Water Cove,NRC,1283662,2.89,0.2,22.3,2453313,6398,28637035,0.18,0.63,0.000,0.086,2.3,0.00,H
26,Outu Bay,NRC,487028,0.66,0.6,10.4,926322,1469,5087988,0.22,0.67,0.000,0.182,1.4,0.00,D
27,Whangamumu Harbour,NRC,2478380,1.67,0.5,16.6,4711274,3752,41029541,0.13,0.47,0.000,0.115,0.7,0.00,D
28,Bland Bay,NRC,3406568,3.82,2.8,5.0,6415453,8552,16993476,0.12,0.55,0.001,0.378,1.1,0.00,D
29,Whangaruru Harbour,NRC,11684453,72.73,25.9,3.8,19897380,179887,44236086,0.03,0.27,0.004,0.450,6.2,0.00,F
30,Helena Bay,NRC,2788789,28.03,3.0,4.4,5262636,75462,12202396,0.12,0.47,0.006,0.431,10.1,0.00,D
31,Mimiwhangata Bay,NRC,3909526,2.98,2.8,5.7,7386532,6808,22294769,0.20,0.64,0.000,0.331,0.8,0.00,D
32,Whananaki Inlet,NRC,2096804,53.95,75.3,1.7,2514250,132079,3550490,0.01,0.30,0.037,0.708,25.7,0.00,E
34,Whangaroa Harbour,NRC,25401380,255.62,32.4,4.3,41307851,697867,109346708,0.00,0.17,0.006,0.378,10.1,0.00,F
35,Ngunguru River,NRC,5124654,86.55,54.7,2.3,7228451,208290,11875487,0.00,0.17,0.018,0.609,16.9,0.00,F
36,Matapouri Bay System,NRC,915553,15.59,61.0,1.7,1223426,35437,1580950,0.05,0.31,0.022,0.774,17.0,0.00,E
37,Matapouri Bay,NRC,417057,0.52,18.9,5.0,725674,1165,2077939,0.18,0.74,0.001,0.349,1.2,0.00,D
38,Matapouri Estuary,NRC,498471,15.08,96.1,1.0,497713,34295,517153,0.01,0.32,0.066,0.962,30.3,0.00,E
39,Tutukaka Harbour,NRC,1004857,4.11,3.7,4.9,1902412,9302,4884170,0.08,0.47,0.002,0.390,4.1,0.00,D
40,Horahora River,NRC,1473736,87.73,69.7,1.6,1862424,206153,2309703,0.00,0.19,0.089,0.806,59.5,0.00,F
41,Patua River,NRC,2813735,45.96,84.6,1.3,3152066,104021,3584537,0.00,0.25,0.029,0.879,16.3,0.00,F
42,Taiharuru River,NRC,3592105,15.66,86.8,1.2,3949736,35443,4425331,0.02,0.22,0.008,0.893,4.4,0.00,F
43,Taiharuru Bay,NRC,217174,0.26,3.3,2.1,416096,588,453651,0.24,0.84,0.001,0.917,1.2,0.00,D
44,Awahoa Bay,NRC,467857,1.35,9.5,2.9,869832,3055,1359689,0.28,0.73,0.002,0.640,2.9,0.00,D
45,Whangarei Harbour System,NRC,103583916,296.96,58.4,4.4,148225378,684499,457556265,0.01,0.18,0.001,0.324,2.9,0.00,F
46,Ruakaka River,NRC,827301,91.61,50.4,2.5,1250387,207483,2070573,0.05,0.17,0.100,0.604,110.7,0.00,F
47,Waipu River,NRC,1548895,227.60,40.6,2.8,2499800,509072,4339888,0.01,0.10,0.117,0.576,146.9,0.00,F
48,Mangawhai Harbour,NRC,4830618,11.70,67.3,2.0,6562592,21967,9718917,0.04,0.20,0.002,0.675,2.4,0.00,F
49,Pakiri River,ARC,89150,31.72,35.2,2.4,155329,71823,213063,0.03,0.29,0.337,0.729,355.8,0.48,B
50,Omaha Cove,ARC,285067,3.68,0.0,7.9,624012,8354,2256953,0.20,0.52,0.004,0.276,12.9,0.00,D
51,Whangateau Harbour,ARC,7460453,42.43,85.4,1.6,9491105,95773,11663589,0.01,0.30,0.008,0.814,5.7,0.00,F
52,Millon Bay,ARC,1017808,5.57,61.6,1.9,1714237,12301,1953712,0.19,0.55,0.006,0.877,5.5,0.00,D
53,Matakana River,ARC,4177585,50.22,76.0,1.1,6318279,114685,4786883,0.02,0.20,0.024,1.320,12.0,0.00,F
78,Mahurangi Harbour System,ARC,24565021,122.16,51.2,2.7,44892812,280320,67261470,0.02,0.20,0.004,0.667,5.0,0.00,F
79,Te Mui-O-Tarariki,ARC,264554,16.55,99.9,1.2,325629,37689,325814,0.02,0.46,0.116,0.999,62.6,0.00,E
80,Puhoi River,ARC,1693119,43.01,70.6,2.2,2697410,97326,3693641,0.00,0.25,0.026,0.730,25.4,0.00,F
81,Waiwera River,ARC,992771,37.89,64.5,2.4,1659432,84502,2364498,0.01,0.30,0.036,0.702,38.2,0.00,F
82,Orewa River,ARC,1280293,28.23,89.0,1.5,1758642,61644,1899475,0.02,0.26,0.032,0.926,22.0,0.00,F
83,Okoromai Bay,ARC,1059101,6.93,27.0,2.7,2310461,10477,2832822,0.20,0.81,0.004,0.816,6.5,0.00,D
84,Hobbs Bay (Gulf Harbour),ARC,237186,3.49,0.0,4.5,601267,6001,1075639,0.15,0.67,0.006,0.559,14.7,0.00,D
85,Weiti River,ARC,2833304,33.33,63.0,1.4,4937928,70414,3960748,0.03,0.21,0.018,1.247,11.8,0.00,F
86,Okura River,ARC,1359335,27.36,79.3,0.6,2089152,54233,861712,0.04,0.31,0.063,2.424,20.1,0.00,E
87,Waitemata Harbour System,ARC,79848102,427.28,36.2,4.3,177003695,887458,341571865,0.01,0.12,0.003,0.518,5.4,0.00,F
88,Tamaki River,ARC,16963199,108.83,40.0,2.9,37427602,186013,49163825,0.02,0.15,0.004,0.761,6.4,0.00,F
89,Whitford Embayment System,ARC,11064418,60.95,81.5,2.3,18516635,104987,25549889,0.07,0.26,0.004,0.725,5.5,0.00,F
90,Mangamangaroa Estuary,ARC,602242,10.01,86.9,1.5,963637,17111,920056,0.09,0.34,0.019,1.047,16.6,0.00,D
91,Turanga Creek,ARC,1493124,27.97,73.6,1.5,2670640,49136,2202889,0.02,0.28,0.022,1.212,18.7,0.00,F
92,Waikopua Creek,ARC,1739241,15.59,100.0,1.2,2463504,26486,2032921,0.11,0.37,0.013,1.212,9.0,0.00,D
93,Wairoa River,ARC,2503260,311.20,42.0,3.5,5774004,637732,8679788,0.03,0.19,0.073,0.665,124.3,0.00,F
94,Firth of Thames System,EW/ARC,729083737,4194.16,15.3,9.4,1924525011,8367134,6865962947,0.08,0.38,0.001,0.280,5.8,0.00,D
95,Miranda Stream,EW,73681,0.63,95.3,1.8,126642,1005,130134,0.13,0.77,0.008,0.973,8.6,0.00,D
96,Waitakaruru River,EW,484292,167.08,63.9,3.0,1092075,271961,1442025,0.09,0.26,0.189,0.757,345.0,0.47,F
97,Piako River,EW,1697671,1461.21,25.6,4.4,4900022,2439637,7426156,0.03,0.16,0.329,0.660,860.7,0.44,B
98,Waihou River,EW,9914351,1980.07,6.7,1.7,31594215,4394084,16446784,0.01,0.15,0.267,1.921,199.7,0.34,B
99,Kauranga River,EW,256609,132.27,55.1,3.3,612254,360249,842741,0.18,0.34,0.427,0.727,515.5,0.66,B
100,Kirita Bay,EW,338963,4.43,9.2,3.1,928268,9240,1065676,0.18,0.79,0.009,0.871,13.1,0.00,D
101,Manaia Harbour,EW,6348868,59.22,76.0,3.2,11080679,168704,20538114,0.06,0.34,0.008,0.540,9.3,0.00,E
102,Te Kouma Harbour,EW,2742733,5.94,45.8,3.7,5915819,13600,10226151,0.05,0.49,0.001,0.578,2.2,0.00,E
103,Coromandel Harbour,EW,25401553,60.28,21.4,5.5,62796785,154014,139671893,0.06,0.49,0.001,0.450,2.4,0.00,E
104,Colville Bay,EW,4598848,42.92,5.1,3.0,11660466,101566,13665726,0.13,0.58,0.007,0.853,9.3,0.00,D
105,Waiaro Estuary,EW,91819,13.79,0.1,3.6,236567,32660,328276,0.04,0.48,0.099,0.721,150.2,0.00,E
106,Stony Bay,EW,1215158,16.51,0.9,8.2,2498637,37752,9982717,0.21,0.64,0.004,0.250,13.6,0.00,D
107,Port Charles,EW,4968842,30.96,1.8,9.3,10050641,70934,46090872,0.18,0.52,0.002,0.218,6.2,0.00,D
108,Waikawau Estuary,EW,239801,27.84,95.0,1.1,242475,63880,254465,0.16,0.42,0.251,0.953,116.1,0.00,C
109,Kennedy Bay System,EW,4879667,56.08,15.2,6.0,8586637,129154,29286184,0.06,0.46,0.004,0.293,11.5,0.00,E
110,Kennedy Bay Estuary,EW,523973,51.39,90.8,1.1,545200,118499,593615,0.04,0.29,0.200,0.918,98.1,0.00,F
111,Whangapoua Harbour,EW,13014569,107.14,79.6,1.3,14902971,274664,17164235,0.02,0.31,0.016,0.868,8.2,0.00,E
112,Mercury Bay System,EW,35711113,510.00,36.3,4.6,50508655,1603076,164248550,0.02,0.14,0.010,0.308,14.3,0.00,F
113,Whitianga Harbour,EW,15495586,450.43,72.3,0.8,17110627,1449472,13026023,0.00,0.13,0.111,1.314,29.1,0.00,F
114,Purangi River,EW,1286710,18.44,95.0,0.5,1167979,46722,622318,0.01,0.31,0.075,1.877,14.3,0.00,E
115,Tairua Harbour,EW,6046969,281.66,51.1,1.3,7702351,952910,7749027,0.01,0.25,0.123,0.994,46.6,0.00,F
116,Wharekawa Harbour,EW,1935498,83.06,85.7,1.1,1888011,269459,2164594,0.04,0.44,0.124,0.872,42.9,0.00,E
117,Whangamata Harbour,EW,4365495,49.55,77.8,1.5,4552366,160719,6488899,0.01,0.34,0.025,0.702,11.4,0.00,E
118,Otahu River,EW,955800,70.12,60.4,1.6,1138659,233431,1516965,0.01,0.22,0.154,0.751,73.4,0.00,F
119,Huruhi Harbour,EW,517243,1.52,9.6,1.9,930518,3163,996016,0.10,0.55,0.003,0.934,2.9,0.00,D
120,Coralie Bay,EW,292780,1.32,17.5,2.7,478382,2715,786567,0.17,0.81,0.003,0.608,4.5,0.00,D
121,Tauranga Harbour System,EBOP,200439588,1299.69,77.0,2.1,211514717,3415721,425300508,0.00,0.15,0.008,0.497,6.5,0.00,F
122,Maketu River,EBOP,2182388,1226.45,58.3,1.6,2638842,3452243,3548243,0.01,0.41,0.973,0.744,562.0,0.46,B
123,Waihi Estuary,EBOP,2640150,414.05,56.8,1.6,3213142,1113586,4353159,0.00,0.33,0.256,0.738,156.8,0.15,C
125,Whakatane River,EBOP,1507392,1771.53,30.5,4.2,2169092,4805620,6359039,0.00,0.15,0.756,0.341,1175.2,0.28,C
126,Ohiwa Harbour,EBOP,26840959,185.62,83.6,1.6,26561008,425573,44190150,0.02,0.21,0.010,0.601,6.9,0.00,F
127,Waiotahi River,EBOP,994756,147.97,68.3,1.8,1114065,360749,1744343,0.02,0.14,0.207,0.639,148.8,0.24,F
128,Waioeka River,Ebop,936378,1172.52,14.0,3.3,1481683,3793540,3093189,0.01,0.13,1.226,0.479,1252.2,0.42,B
129,Waiaua River,EBOP,180124,108.55,59.1,1.6,215979,303384,289650,0.10,0.31,1.047,0.746,602.6,0.27,C
130,Whangaparaoa River,Ebop,157673,181.14,0.0,2.7,261264,520639,418937,0.02,0.18,1.243,0.624,1148.8,0.39,B
131,Wharakahika River,Ebop,49569,154.41,34.1,2.0,66886,411703,99537,0.08,0.27,4.136,0.672,3115.1,0.68,B
132,Karakatuwhero River,Ebop,25152,105.61,0.0,2.6,40895,297587,66045,0.10,0.41,4.506,0.619,4198.9,0.72,B
133,Uawa River,Ebop,1129627,556.60,23.0,2.8,1475920,1276990,3216449,0.01,0.14,0.397,0.459,492.7,0.38,B
134,Pakarae River,Ebop,264347,246.43,0.2,2.4,381278,565690,645017,0.00,0.12,0.877,0.591,932.2,0.40,B
135,Waiomoko River,GRC,118230,74.79,0.0,2.4,170479,172784,288697,0.00,0.16,0.598,0.591,632.6,0.45,B
136,Pouawa River,GRC,58883,44.66,7.9,2.3,81407,91533,135668,0.03,0.52,0.675,0.600,758.5,0.61,B
137,Turanganui River,Ebop,602762,313.83,0.0,1.5,869183,640236,895593,0.01,0.10,0.715,0.971,520.7,0.38,B
138,Waipaoa River,GRC,1073747,585.04,2.3,4.4,1529244,1125912,4675430,0.01,0.19,0.241,0.327,544.9,0.32,F
139,Wherowhero Lagoon,GRC,515405,49.90,23.0,2.0,655772,89292,1052427,0.01,0.29,0.085,0.623,96.8,0.00,F
140,Maraetaha River,GRC,57769,83.58,0.6,2.4,82547,215034,139987,0.02,0.20,1.536,0.590,1446.8,0.41,B
141,Maungawhio Lagoon,GRC,959805,73.63,78.7,1.1,829969,185883,1034215,0.01,0.24,0.180,0.803,76.7,0.00,F
142,Nuhaka River,HBRC,114044,207.06,0.0,2.5,169469,585591,283513,0.01,0.28,2.065,0.598,1815.6,0.40,B
143,Tahaenui River,HBRC,77874,57.56,0.2,1.0,0,147862,77718,0.00,0.21,1.903,0.000,739.1,0.00,A
144,Whakaki Lagoon,HBRC,4749001,43.72,0.0,1.0,0,97015,4749001,0.00,0.54,0.020,0.000,9.2,0.00,A
145,Te Paeroa Lagoon,HBRC,607238,4.06,0.4,1.0,0,8563,604566,0.00,0.47,0.014,0.000,6.7,0.00,A
146,Wairau Lagoon,HBRC,186172,3.65,0.6,1.0,0,7516,185129,0.00,0.40,0.041,0.000,19.6,0.00,A
147,Ohuia Lagoon,HBRC,551842,32.25,0.0,1.0,0,68242,551787,0.00,0.35,0.124,0.000,58.4,0.00,A
148,Wairoa River,HBRC,2498812,311.20,15.6,3.9,3409409,637732,9734902,0.01,0.26,0.066,0.350,124.5,0.30,F
149,Waihua River,HBRC,92920,141.62,0.0,2.5,137315,309449,230207,0.00,0.20,1.344,0.596,1524.1,0.46,B
150,Waikari River,HBRC,137195,328.57,0.1,2.5,202449,650275,339576,0.01,0.19,1.915,0.596,2394.9,0.39,B
151,Aropaoanui River,HBRC,63234,148.90,0.2,1.0,0,325588,63082,0.00,0.32,5.161,0.000,2354.7,0.00,A
152,Ahuriri Estuary,HBRC,2745765,143.51,9.2,0.2,3853629,200405,561571,0.00,0.17,0.357,6.862,52.3,0.00,C
153,Ngaruroro River,HBRC,718823,3381.88,0.0,3.5,1048044,6931812,2485690,0.01,0.16,2.789,0.422,4704.7,0.48,B
154,Mangakuri River,HBRC,27169,111.71,0.0,2.4,37602,183872,64771,0.02,0.38,2.839,0.581,4111.7,0.45,B
155,Pourerere Stream,HBRC,20518,39.49,3.4,2.3,27797,64581,47624,0.03,0.30,1.356,0.584,1924.7,0.41,B
156,Porangahau River,HBRC,2264781.631,845.96,26.4,0.7,0,1430724,1667332,0.00,0.22,0.858,0.000,373.5,0.00,A
157,Akitio River,MWRC,260469,585.21,0.0,2.4,354498,1083358,614967,0.01,0.31,1.762,0.576,2246.8,0.51,B
158,Owahanga River,MWRC,589793,410.63,0.0,2.4,801529,798914,1391322,0.01,0.27,0.574,0.576,696.2,0.46,B
159,Mataikona River,WRC,102670,188.72,0.0,2.4,139426,408308,242096,0.02,0.35,1.687,0.576,1838.1,0.31,B
160,Castlepoint,WRC,285326,10.94,47.5,1.6,293509,18313,443334,0.11,0.68,0.041,0.662,38.3,0.00,D
161,Wharamea River,WRC,118091,530.25,0.0,2.3,158714,917784,276805,0.01,0.36,3.316,0.573,4490.2,0.44,B
162,Motuwaireka Stream,WRC,53854,32.69,15.4,2.1,66593,55208,112132,0.09,0.31,0.492,0.594,607.0,0.38,B
163,Patanui Stream,WRC,27359,46.23,6.6,2.2,35312,77029,60854,0.09,0.36,1.266,0.580,1689.8,0.31,B
164,Pahaoa River,WRC,160577,650.48,0.0,2.3,210195,1163886,370772,0.00,0.29,3.139,0.567,4050.9,0.40,B
165,Oterei River,WRC,71782,65.62,0.0,1.0,0,111425,71782,0.00,0.22,1.552,0.000,914.2,0.00,A
166,Awhea River,WRC,56818,149.33,0.0,1.0,0,276212,56818,0.00,0.26,4.861,0.000,2628.2,0.00,A
167,Lake Onoke,WRC,6653550,3433.30,2.4,3.1,7736470,7774924,20721539,0.00,0.49,0.375,0.373,516.0,0.27,C
168,Wainuiomata River,WRC,40514,133.93,0.0,1.0,0,363330,40514,0.00,0.29,8.968,0.000,3305.8,0.00,A
169,Lake Kohangatera,WRC,213263,32.84,0.3,1.0,0,64306,212559,0.00,0.43,0.303,0.000,154.0,0.00,A
170,Lake Kohangapiripiri,WRC,109815,5.54,1.7,1.0,0,9455,107970,0.00,0.49,0.088,0.000,50.4,0.00,A
171,Wellington Harbour,WRC,85421181,638.62,0.0,16.0,88321085,1862827,1369490185,0.04,0.45,0.001,0.064,7.5,0.00,G
172,Lyall Bay,WRC,2435581,14.23,0.0,8.2,2472115,24121,19926805,0.20,0.77,0.001,0.124,5.8,0.00,D
173,Te Ikaamaru Bay,WRC,703019,6.41,0.0,6.7,415484,10897,4743860,0.34,0.75,0.002,0.088,9.1,0.00,D
174,Ohariu Bay,WRC,441212,75.11,0.0,3.2,290759,128081,1424578,0.35,0.79,0.090,0.204,170.2,0.00,D
175,Titahi Bay,WRC,390948,0.98,0.0,3.2,385084,1631,1264686,0.31,0.77,0.001,0.304,2.5,0.00,D
176,Okupe Lagoon,WRC,78967,1.76,0.2,1.0,0,2250,78777,0.00,0.57,0.029,0.000,22.3,0.00,A
177,Porirua Harbour,WRC,7469203,210.66,10.8,1.3,7413661,394510,9678790,0.03,0.36,0.041,0.766,28.2,0.00,E
178,Waikanae River,WRC,331270,21.23,49.6,1.9,451237,37380,618297,0.11,0.31,0.060,0.730,64.1,0.29,D
180,Waikawa Stream,WRC,111227,76.38,53.7,2.0,170327,152417,221858,0.13,0.30,0.687,0.768,686.7,0.38,B
181,Ohau River,MWRC,282578,183.32,0.0,3.1,601043,489408,883621,0.04,0.30,0.554,0.680,648.7,0.50,B
182,Manawatu River,MWRC,2131037,5887.36,1.9,4.2,4869597,11503469,9050692,0.04,0.25,1.271,0.538,2762.7,0.38,B
183,Rangitikei River,MWRC,393895,3927.61,3.6,4.3,931087,7749821,1690595,0.05,0.26,4.584,0.551,9971.2,0.47,B
184,Turakina River,MWRC,430385,973.39,33.7,2.8,903827,1472473,1189344,0.18,0.33,1.238,0.760,2261.7,0.32,B
